Regione;Elettori Maschi;Elettori Femmine;Elettori Totali;Percentuali votanti;Percentuale voti si;Percentuale voti no;Percentuale schede bianche, non valide o contestate
EMILIA-ROMAGNA;1605036.0;1721874.0;3326910.0;75.93322332134022;49.97502206845774;49.20343753339957;0.8196007489420994
SICLIA;4223.0;4696.0;8919.0;57.99977575961431;26.75430117919969;72.16315484245119;1.0825439783491204
UMBRIA;324519.0;351091.0;675610.0;73.47522979233581;48.41722299891621;252.18168192971075;0.8335918582772972
SICILIA;1920202.0;2102750.0;4022952.0;56.65195607603571;28.13980722931743;70.9216565799987;0.9341045798723258
CALABRIA;747811.0;802689.0;1550500.0;54.43405353111899;32.64111374407583;66.43293838862559;0.9227488151658768
BASILICATA;227236.0;239764.0;467000.0;62.85781584582441;33.6996586565649;65.0940568088136;1.2021965892909459
VALLE D'AOSTA;48701.0;51034.0;99735.0;71.90755502080513;42.623087970774016;55.936528298729726;1.4389893609604418
VENETO;1803443.0;nan;nan;nan;37.77084395423489;61.493677983270175;0.7336886635259791
LIGURIA;585208.0;656261.0;1241469.0;69.73641709942012;39.58055156418206;59.575330693636545;0.8321051196873022
PUGLIA;1571599.0;1709113.0;3280712.0;61.71376823079868;32.56630401980391;66.60767707619733;0.8211291723857593
LOMBARDIA;3616467.0;3863908.0;7480375.0;74.22769580402053;44.17706586750857;55.077973745207125;0.7377924578253798
FRIULI-VENEZIA GIULIA;457538.0;494956.0;952494.0;72.516677270408;38.70716950646936;60.48121010486205;0.8084352926017457
MOLISE;124778.0;131822.0;256600.0;63.92751363990647;38.82941757397676;60.18605445079798;0.9778222119265049
LAZIO;2097786.0;2304359.0;4402145.0;69.16339648057935;36.41665295419245;62.876932925145;0.7037865806935589
SARDEGNA;668772.0;706963.0;1375735.0;62.45083537163771;27.61773736611892;71.79017130725664;0.5897634660912195
MARCHE;574341.0;614840.0;1189181.0;72.84282207670657;44.53397642435696;54.5771172421277;0.8869438130387551
TOSCANA;1364774.0;1489355.0;2854129.0;74.4553942726485;52.034890423909424;47.058026317461255;0.904542145537076
CAMPANIA;2190203.0;2376702.0;4566905.0;58.881671504005446;31.226111629671223;67.97026481274195;0.8006485513579044
ABRUZZO;509116.0;542933.0;1052049.0;68.71638108110935;35.27326297151868;63.79428160402805;0.9306571867262391
TRENTINO-ALTO ADIGE;387839.0;404665.0;792504.0;72.23761646628913;53.33265791652547;45.67325663859029;0.9926880307990065
PIEMONTE;1633247.0;1763131.0;3396378.0;72.03744695083998;43.109679138614865;55.94560593526533;0.9419765035166251
CALABRIA    ;1593.0;1648.0;3241.0;54.767047207651956;40.732394366197184;58.140845070422536;1.1267605633802817
